,UKAll16_24,UKAll25_34,UKAll35_49,UKAll50_64
1992 APR,11.2,10.4,7.3,8
1992 MAY,10.4,10.6,7,8
1992 JUN,10.7,10.6,7.1,8.1
1992 JUL,11.8,10.6,7.1,8.2
1992 AUG,13.2,10.4,7.2,8.3
1992 SEP,12.3,10.5,7.4,8.4
1992 OCT,11.4,10.7,7.4,8.8
1992 NOV,12.3,10.8,7.5,8.9
1992 DEC,13.6,10.9,7.6,9.2
1993 JAN,14.4,11,7.8,9.2
1993 FEB,13.5,10.8,7.7,9.1
1993 MAR,13.3,10.8,7.7,9.1
1993 APR,13.4,10.6,7.5,9.1
1993 MAY,13.7,10.4,7.6,8.9
1993 JUN,13.9,10.4,7.6,9
1993 JUL,14.1,10.4,7.6,8.8
1993 AUG,14.4,10.3,7.5,9
1993 SEP,13.9,10.4,7.4,9
1993 OCT,13.5,10.3,7.5,8.9
1993 NOV,14.2,10.4,7.4,8.9
1993 DEC,13.9,10.4,7.4,8.9
1994 JAN,13.8,10.2,7.3,9
1994 FEB,13.7,10,7.2,9.1
1994 MAR,13.9,10,7,8.9
1994 APR,13.3,9.9,7.1,8.5
1994 MAY,14.4,9.8,7,8.6
1994 JUN,14,9.6,7,8.4
1994 JUL,15.5,9.6,6.8,8.2
1994 AUG,15.1,9.5,6.7,7.9
1994 SEP,15.3,9.5,6.6,7.8
1994 OCT,15,9.2,6.7,7.6
1994 NOV,14.9,8.9,6.6,7.6
1994 DEC,14.8,9,6.6,7.4
1995 JAN,15.3,9,6.5,7.3
1995 FEB,15.7,9.1,6.5,7.2
1995 MAR,15.7,9,6.5,7.1
1995 APR,15.5,9,6.5,7
1995 MAY,15,8.8,6.5,6.9
1995 JUN,14.4,8.8,6.5,6.9
1995 JUL,13.6,8.7,6.5,7
1995 AUG,13.3,8.7,6.6,6.9
1995 SEP,13.3,8.8,6.5,6.9
1995 OCT,13.9,8.8,6.3,6.8
1995 NOV,13.7,8.5,6.1,6.6
1995 DEC,13.4,8.5,6.2,6.7
1996 JAN,13,8.5,6.2,6.6
1996 FEB,12.9,8.4,6,6.5
1996 MAR,13.7,8.4,6.1,6.4
1996 APR,14.1,8.5,6,6.4
1996 MAY,14.3,8.5,6,6.5
1996 JUN,14.1,8.4,5.9,6.5
1996 JUL,13.8,8.3,5.8,6.4
1996 AUG,14.5,8.1,5.8,6.3
1996 SEP,15.1,8.1,5.7,6.3
1996 OCT,15.7,7.9,5.7,6.3
1996 NOV,15.3,7.8,5.6,6.2
1996 DEC,14.9,7.5,5.6,5.9
1997 JAN,14.2,7.4,5.5,5.7
1997 FEB,14.5,7,5.4,5.5
1997 MAR,14,6.9,5.4,5.5
1997 APR,15.3,6.9,5.3,5.6
1997 MAY,16.3,7,5.2,5.5
1997 JUN,16.2,7.1,5.1,5.6
1997 JUL,15.7,6.8,5.1,5.4
1997 AUG,14.7,6.7,4.8,5.3
1997 SEP,14.6,6.5,4.8,5.3
1997 OCT,14.1,6.7,4.7,5.2
1997 NOV,14.3,6.5,4.6,4.9
1997 DEC,14.5,6.5,4.4,4.7
1998 JAN,14.3,6.3,4.4,4.7
1998 FEB,14,6.4,4.3,4.8
1998 MAR,14.6,6.4,4.2,4.7
1998 APR,14.3,6.3,4.3,4.6
1998 MAY,15.1,6.2,4.3,4.5
1998 JUN,15,6.3,4.4,4.4
1998 JUL,16,6.3,4.2,4.4
1998 AUG,15.2,6.3,4.3,4.3
1998 SEP,14.7,6.2,4.4,4.3
1998 OCT,14,5.9,4.4,4.2
1998 NOV,13.7,5.8,4.4,4.3
1998 DEC,14.4,5.8,4.4,4.4
1999 JAN,15.3,5.7,4.6,4.4
1999 FEB,15.4,5.7,4.5,4.4
1999 MAR,15.1,5.8,4.5,4.5
1999 APR,14.8,5.8,4.4,4.5
1999 MAY,15,5.8,4.3,4.4
1999 JUN,14.4,5.7,4.3,4.2
1999 JUL,14.3,5.7,4.2,4.1
1999 AUG,13.9,5.7,4.3,4.2
1999 SEP,13.8,5.7,4.3,4.1
1999 OCT,14.2,5.7,4.3,4.2
1999 NOV,14.2,5.7,4.2,4.2
1999 DEC,14.8,5.6,4.2,4.3
2000 JAN,15,5.6,4.1,4.3
2000 FEB,15.4,5.5,4,4.3
2000 MAR,15.2,5.3,4,4.2
2000 APR,14.2,5.2,3.9,4.2
2000 MAY,13.3,5.1,3.9,4.1
2000 JUN,12.5,5,3.8,3.9
2000 JUL,12.9,4.8,3.7,3.8
2000 AUG,13.1,4.7,3.9,3.8
2000 SEP,14.3,4.8,3.8,3.9
2000 OCT,13.9,4.8,3.7,3.8
2000 NOV,14.2,4.8,3.5,3.8
2000 DEC,13.6,4.7,3.6,3.6
2001 JAN,13.1,4.7,3.7,3.6
2001 FEB,12.4,4.7,3.6,3.3
2001 MAR,12.2,4.7,3.6,3.2
2001 APR,12.1,4.6,3.5,3
2001 MAY,12.4,4.8,3.6,3.2
2001 JUN,12.9,4.9,3.6,3.2
2001 JUL,13.6,4.8,3.6,3.3
2001 AUG,13.4,5,3.4,3.4
2001 SEP,13.2,4.9,3.5,3.3
2001 OCT,12.7,5,3.5,3.1
2001 NOV,12.3,5.1,3.6,3.2
2001 DEC,12.6,5.2,3.5,3.1
